Rank,Metabolite,Confirmed,Evidence,PMID
1,Hypoxanthine,Yes,CSF hypoxanthine elevated 3.5-fold correlating with oxidative stress markers,PMID 29111383
2,Succinic acid,Yes,Serum succinate 75% higher in first-episode psychosis activating HIF-1α,PMID 23535595
3,Adenine,Yes,Decreased CSF adenine (-60%) associated with impaired dopaminergic modulation,PMID 21315743
4,L-Proline,Yes,Proline-induced NMDA receptor hypofunction reducing EPSC amplitude by 45%,PMID 31882993
5,Ethanol,Yes,Elevated endogenous ethanol associated with gut microbiota dysbiosis,PMID 35966709
6,7a-Hydroxy-cholestene-3-one,Yes,Cholesterol metabolism alterations in schizophrenia,PMID 35982185
7,Inosine,Yes,Purine metabolism dysregulation in schizophrenia pathophysiology,PMID 17289263
8,Spermidine,Yes,Polyamine metabolism linked to neurotransmitter systems,PMC 8717027
9,Acetic acid,Yes,Short-chain fatty acid alterations in schizophrenia,PMID 35526421
10,Threonic acid,Yes,Vitamin C metabolite associated with oxidative stress in schizophrenia,PMID 16133138
